"Month","Passengers","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t","log_Passengers","t_square"
"Jan-95",112,1,0,0,0,0,0,0,0,0,0,0,0,1,4.71849887129509,1
"Feb-95",118,0,1,0,0,0,0,0,0,0,0,0,0,2,4.77068462446567,4
"Mar-95",132,0,0,1,0,0,0,0,0,0,0,0,0,3,4.88280192258637,9
"Apr-95",129,0,0,0,1,0,0,0,0,0,0,0,0,4,4.85981240436167,16
"May-95",121,0,0,0,0,1,0,0,0,0,0,0,0,5,4.79579054559674,25
"Jun-95",135,0,0,0,0,0,1,0,0,0,0,0,0,6,4.90527477843843,36
"Jul-95",148,0,0,0,0,0,0,1,0,0,0,0,0,7,4.99721227376411,49
"Aug-95",148,0,0,0,0,0,0,0,1,0,0,0,0,8,4.99721227376411,64
"Sep-95",136,0,0,0,0,0,0,0,0,1,0,0,0,9,4.91265488573605,81
"Oct-95",119,0,0,0,0,0,0,0,0,0,1,0,0,10,4.77912349311153,100
"Nov-95",104,0,0,0,0,0,0,0,0,0,0,1,0,11,4.64439089914137,121
"Dec-95",118,0,0,0,0,0,0,0,0,0,0,0,1,12,4.77068462446567,144
"Jan-96",115,1,0,0,0,0,0,0,0,0,0,0,0,13,4.74493212836325,169
"Feb-96",126,0,1,0,0,0,0,0,0,0,0,0,0,14,4.83628190695148,196
"Mar-96",141,0,0,1,0,0,0,0,0,0,0,0,0,15,4.94875989037817,225
"Apr-96",135,0,0,0,1,0,0,0,0,0,0,0,0,16,4.90527477843843,256
"May-96",125,0,0,0,0,1,0,0,0,0,0,0,0,17,4.8283137373023,289
"Jun-96",149,0,0,0,0,0,1,0,0,0,0,0,0,18,5.00394630594546,324
"Jul-96",170,0,0,0,0,0,0,1,0,0,0,0,0,19,5.13579843705026,361
"Aug-96",170,0,0,0,0,0,0,0,1,0,0,0,0,20,5.13579843705026,400
"Sep-96",158,0,0,0,0,0,0,0,0,1,0,0,0,21,5.06259503302697,441
"Oct-96",133,0,0,0,0,0,0,0,0,0,1,0,0,22,4.89034912822175,484
"Nov-96",114,0,0,0,0,0,0,0,0,0,0,1,0,23,4.7361984483945,529
"Dec-96",140,0,0,0,0,0,0,0,0,0,0,0,1,24,4.9416424226093,576
"Jan-97",145,1,0,0,0,0,0,0,0,0,0,0,0,25,4.97673374242057,625
"Feb-97",150,0,1,0,0,0,0,0,0,0,0,0,0,26,5.01063529409626,676
"Mar-97",178,0,0,1,0,0,0,0,0,0,0,0,0,27,5.18178355029209,729
"Apr-97",163,0,0,0,1,0,0,0,0,0,0,0,0,28,5.09375020080676,784
"May-97",172,0,0,0,0,1,0,0,0,0,0,0,0,29,5.14749447681345,841
"Jun-97",178,0,0,0,0,0,1,0,0,0,0,0,0,30,5.18178355029209,900
"Jul-97",199,0,0,0,0,0,0,1,0,0,0,0,0,31,5.29330482472449,961
"Aug-97",199,0,0,0,0,0,0,0,1,0,0,0,0,32,5.29330482472449,1024
"Sep-97",184,0,0,0,0,0,0,0,0,1,0,0,0,33,5.21493575760899,1089
"Oct-97",162,0,0,0,0,0,0,0,0,0,1,0,0,34,5.08759633523238,1156
"Nov-97",146,0,0,0,0,0,0,0,0,0,0,1,0,35,4.98360662170834,1225
"Dec-97",166,0,0,0,0,0,0,0,0,0,0,0,1,36,5.11198778835654,1296
"Jan-98",171,1,0,0,0,0,0,0,0,0,0,0,0,37,5.14166355650266,1369
"Feb-98",180,0,1,0,0,0,0,0,0,0,0,0,0,38,5.19295685089021,1444
"Mar-98",193,0,0,1,0,0,0,0,0,0,0,0,0,39,5.26269018890489,1521
"Apr-98",181,0,0,0,1,0,0,0,0,0,0,0,0,40,5.19849703126583,1600
"May-98",183,0,0,0,0,1,0,0,0,0,0,0,0,41,5.20948615284142,1681
"Jun-98",218,0,0,0,0,0,1,0,0,0,0,0,0,42,5.38449506278909,1764
"Jul-98",230,0,0,0,0,0,0,1,0,0,0,0,0,43,5.4380793089232,1849
"Aug-98",242,0,0,0,0,0,0,0,1,0,0,0,0,44,5.48893772615669,1936
"Sep-98",209,0,0,0,0,0,0,0,0,1,0,0,0,45,5.34233425196481,2025
"Oct-98",191,0,0,0,0,0,0,0,0,0,1,0,0,46,5.25227342804663,2116
"Nov-98",172,0,0,0,0,0,0,0,0,0,0,1,0,47,5.14749447681345,2209
"Dec-98",194,0,0,0,0,0,0,0,0,0,0,0,1,48,5.26785815906333,2304
"Jan-99",196,1,0,0,0,0,0,0,0,0,0,0,0,49,5.27811465923052,2401
"Feb-99",196,0,1,0,0,0,0,0,0,0,0,0,0,50,5.27811465923052,2500
"Mar-99",236,0,0,1,0,0,0,0,0,0,0,0,0,51,5.46383180502561,2601
"Apr-99",235,0,0,0,1,0,0,0,0,0,0,0,0,52,5.45958551414416,2704
"May-99",229,0,0,0,0,1,0,0,0,0,0,0,0,53,5.43372200355424,2809
"Jun-99",243,0,0,0,0,0,1,0,0,0,0,0,0,54,5.49306144334055,2916
"Jul-99",264,0,0,0,0,0,0,1,0,0,0,0,0,55,5.57594910314632,3025
"Aug-99",272,0,0,0,0,0,0,0,1,0,0,0,0,56,5.605802066296,3136
